id_osm,data_implementacao
61819124,2022-01-01
227335672,2022-01-01
227342532,2022-01-01
273593640,2022-01-01
286269721,2022-01-01
321139487,2022-01-01
321139488,2022-01-01
518581380,2022-01-01
518581381,2022-01-01
524220662,2022-01-01
524259146,2022-01-01
524259147,2022-01-01
524259563,2022-01-01
524259573,2022-01-01
524259806,2022-01-01
524259836,2022-01-01
524260220,2022-01-01
524260423,2022-01-01
524260424,2022-01-01
704514968,2022-01-01
936906937,2022-01-01
943031362,2022-01-01
943943780,2022-01-01
944411799,2022-01-01
997426060,2022-01-01
4363152,2022-10-01
8369656,2022-10-01
37926776,2022-10-01
39150426,2022-10-01
125998380,2022-10-01
125998396,2022-10-01
183017567,2022-10-01
183017623,2022-10-01
183312965,2022-10-01
183343599,2022-10-01
227339306,2022-10-01
227339610,2022-10-01
227340373,2022-10-01
227340906,2022-10-01
227341991,2022-10-01
227341996,2022-10-01
286747359,2022-10-01
286747360,2022-10-01
286749389,2022-10-01
286749391,2022-10-01
286750023,2022-10-01
286750024,2022-10-01
326382891,2022-10-01
326382893,2022-10-01
326382895,2022-10-01
326382897,2022-10-01
326382899,2022-10-01
326382901,2022-10-01
326382903,2022-10-01
326382905,2022-10-01
366512495,2022-10-01
366512497,2022-10-01
376490008,2022-10-01
439281420,2022-10-01
521396094,2022-10-01
617085816,2022-10-01
617086232,2022-10-01
617086691,2022-10-01
617088075,2022-10-01
617088076,2022-10-01
617088655,2022-10-01
617088820,2022-10-01
617089233,2022-10-01
701759523,2022-10-01
701759524,2022-10-01
704515375,2022-10-01
704522792,2022-10-01
704522793,2022-10-01
704522794,2022-10-01
704522795,2022-10-01
704523180,2022-10-01
704523460,2022-10-01
704523726,2022-10-01
704729289,2022-10-01
704729290,2022-10-01
704729291,2022-10-01
704729292,2022-10-01
704729567,2022-10-01
704729568,2022-10-01
704768957,2022-10-01
704777901,2022-10-01
704802124,2022-10-01
704803228,2022-10-01
704808237,2022-10-01
759449673,2022-10-01
759449677,2022-10-01
815966195,2022-10-01
839769187,2022-10-01
839770001,2022-10-01
907566426,2022-10-01
917608562,2022-10-01
938571146,2022-10-01
938880519,2022-10-01
938880520,2022-10-01
943023992,2022-10-01
944841765,2022-10-01
978822151,2022-10-01
4331361,2023-10-01
4331374,2023-10-01
4331461,2023-10-01
4331480,2023-10-01
49436033,2023-10-01
49436035,2023-10-01
125450906,2023-10-01
125450907,2023-10-01
183462538,2023-10-01
183462544,2023-10-01
191591072,2023-10-01
228034418,2023-10-01
241906989,2023-10-01
286269715,2023-10-01
286269716,2023-10-01
327754982,2023-10-01
524262336,2023-10-01
524262337,2023-10-01
524263466,2023-10-01
788308774,2023-10-01
842455159,2023-10-01
936868440,2023-10-01
4328549,2023-11-01
14518877,2023-11-01
37570881,2023-11-01
95994395,2023-11-01
122735119,2023-11-01
122735120,2023-11-01
134462238,2023-11-01
134462239,2023-11-01
134462241,2023-11-01
134462243,2023-11-01
244074938,2023-11-01
244074939,2023-11-01
249070426,2023-11-01
249070427,2023-11-01
249070428,2023-11-01
250963983,2023-11-01
250963988,2023-11-01
250963994,2023-11-01
250963998,2023-11-01
251041420,2023-11-01
251265981,2023-11-01
252344056,2023-11-01
252778745,2023-11-01
300339900,2023-11-01
325049851,2023-11-01
325049852,2023-11-01
325197943,2023-11-01
405498517,2023-11-01
408879422,2023-11-01
408879423,2023-11-01
449609753,2023-11-01
449609813,2023-11-01
449609814,2023-11-01
449610017,2023-11-01
449610018,2023-11-01
449610530,2023-11-01
449610532,2023-11-01
449610533,2023-11-01
449610860,2023-11-01
449610861,2023-11-01
449611068,2023-11-01
449611069,2023-11-01
449611100,2023-11-01
449611101,2023-11-01
449611175,2023-11-01
449611176,2023-11-01
449611215,2023-11-01
449611216,2023-11-01
470027083,2023-11-01
471338742,2023-11-01
472104811,2023-11-01
472104812,2023-11-01
479142984,2023-11-01
479142985,2023-11-01
540083699,2023-11-01
540083700,2023-11-01
753433446,2023-11-01
762991126,2023-11-01
762991131,2023-11-01
766711365,2023-11-01
766730371,2023-11-01
855400372,2023-11-01
934341956,2023-11-01
936802547,2023-11-01
940519057,2023-11-01
940519401,2023-11-01
940520382,2023-11-01
940520383,2023-11-01
940521369,2023-11-01
940521370,2023-11-01
941833271,2023-11-01
941836714,2023-11-01
941849573,2023-11-01
941960448,2023-11-01
941960449,2023-11-01
941972651,2023-11-01
942385366,2023-11-01
942642432,2023-11-01
975107312,2023-11-01
984378200,2023-11-01
1027044217,2023-11-01
1027044220,2023-11-01
1027044221,2023-11-01
1027044227,2023-11-01
1027044228,2023-11-01
1027044229,2023-11-01
1123479517,2023-11-01
1123479518,2023-11-01
1264623498,2023-11-01
1264623499,2023-11-01
16149145,2023-12-01
18621149,2023-12-01
49733651,2023-12-01
49733653,2023-12-01
88573170,2023-12-01
126251699,2023-12-01
126251706,2023-12-01
128821029,2023-12-01
128821033,2023-12-01
153104059,2023-12-01
153108589,2023-12-01
153108590,2023-12-01
153108591,2023-12-01
153108592,2023-12-01
154401014,2023-12-01
161226180,2023-12-01
161226181,2023-12-01
170363934,2023-12-01
170363948,2023-12-01
183090706,2023-12-01
183090715,2023-12-01
183489035,2023-12-01
184013921,2023-12-01
185783783,2023-12-01
185783795,2023-12-01
188364712,2023-12-01
188364713,2023-12-01
188364714,2023-12-01
188364715,2023-12-01
195294103,2023-12-01
195294104,2023-12-01
196799726,2023-12-01
196799727,2023-12-01
200188105,2023-12-01
200188106,2023-12-01
200188107,2023-12-01
200188108,2023-12-01
200188109,2023-12-01
200188110,2023-12-01
200188111,2023-12-01
200188112,2023-12-01
