numero,numero_ext
1,UM
2,DOIS
3,TRES
4,QUATRO
5,CINCO
6,SEIS
7,SETE
8,OITO
9,NOVE
10,DEZ
11,ONZE
12,DOZE
13,TREZE
14,QUATORZE
15,QUINZE
16,DEZESSEIS
17,DEZESSETE
18,DEZOITO
19,DEZENOVE
20,VINTE
21,VINTE E UM
22,VINTE E DOIS
23,VINTE E TRES
24,VINTE E QUATRO
25,VINTE E CINCO
26,VINTE E SEIS
27,VINTE E SETE
28,VINTE E OITO
29,VINTE E NOVE
30,TRINTA
31,TRINTA E UM
32,TRINTA E DOIS
33,TRINTA E TRES
34,TRINTA E QUATRO
35,TRINTA E CINCO
36,TRINTA E SEIS
37,TRINTA E SETE
38,TRINTA E OITO
39,TRINTA E NOVE
40,QUARENTA
41,QUARENTA E UM
42,QUARENTA E DOIS
43,QUARENTA E TRES
44,QUARENTA E QUATRO
45,QUARENTA E CINCO
46,QUARENTA E SEIS
47,QUARENTA E SETE
48,QUARENTA E OITO
49,QUARENTA E NOVE
50,CINQUENTA
51,CINQUENTA E UM
52,CINQUENTA E DOIS
53,CINQUENTA E TRES
54,CINQUENTA E QUATRO
55,CINQUENTA E CINCO
56,CINQUENTA E SEIS
57,CINQUENTA E SETE
58,CINQUENTA E OITO
59,CINQUENTA E NOVE
60,SESSENTA
61,SESSENTA E UM
62,SESSENTA E DOIS
63,SESSENTA E TRES
64,SESSENTA E QUATRO
65,SESSENTA E CINCO
66,SESSENTA E SEIS
67,SESSENTA E SETE
68,SESSENTA E OITO
69,SESSENTA E NOVE
70,SETENTA
71,SETENTA E UM
72,SETENTA E DOIS
73,SETENTA E TRES
74,SETENTA E QUATRO
75,SETENTA E CINCO
76,SETENTA E SEIS
77,SETENTA E SETE
78,SETENTA E OITO
79,SETENTA E NOVE
80,OITENTA
81,OITENTA E UM
82,OITENTA E DOIS
83,OITENTA E TRES
84,OITENTA E QUATRO
85,OITENTA E CINCO
86,OITENTA E SEIS
87,OITENTA E SETE
88,OITENTA E OITO
89,OITENTA E NOVE
90,NOVENTA
91,NOVENTA E UM
92,NOVENTA E DOIS
93,NOVENTA E TRES
94,NOVENTA E QUATRO
95,NOVENTA E CINCO
96,NOVENTA E SEIS
97,NOVENTA E SETE
98,NOVENTA E OITO
99,NOVENTA E NOVE
100,CEM
101,CENTO E UM
102,CENTO E DOIS
103,CENTO E TRES
104,CENTO E QUATRO
105,CENTO E CINCO
106,CENTO E SEIS
107,CENTO E SETE
108,CENTO E OITO
109,CENTO E NOVE
110,CENTO E DEZ
111,CENTO E ONZE
112,CENTO E DOZE
113,CENTO E TREZE
114,CENTO E QUATORZE
115,CENTO E QUINZE
116,CENTO E DEZESSEIS
117,CENTO E DEZESSETE
118,CENTO E DEZOITO
119,CENTO E DEZENOVE
120,CENTO E VINTE
121,CENTO E VINTE E UM
122,CENTO E VINTE E DOIS
123,CENTO E VINTE E TRES
124,CENTO E VINTE E QUATRO
125,CENTO E VINTE E CINCO
126,CENTO E VINTE E SEIS
127,CENTO E VINTE E SETE
128,CENTO E VINTE E OITO
129,CENTO E VINTE E NOVE
130,CENTO E TRINTA
131,CENTO E TRINTA E UM
132,CENTO E TRINTA E DOIS
133,CENTO E TRINTA E TRES
134,CENTO E TRINTA E QUATRO
135,CENTO E TRINTA E CINCO
136,CENTO E TRINTA E SEIS
137,CENTO E TRINTA E SETE
138,CENTO E TRINTA E OITO
139,CENTO E TRINTA E NOVE
140,CENTO E QUARENTA
141,CENTO E QUARENTA E UM
142,CENTO E QUARENTA E DOIS
143,CENTO E QUARENTA E TRES
144,CENTO E QUARENTA E QUATRO
145,CENTO E QUARENTA E CINCO
146,CENTO E QUARENTA E SEIS
147,CENTO E QUARENTA E SETE
148,CENTO E QUARENTA E OITO
149,CENTO E QUARENTA E NOVE
150,CENTO E CINQUENTA
151,CENTO E CINQUENTA E UM
152,CENTO E CINQUENTA E DOIS
153,CENTO E CINQUENTA E TRES
154,CENTO E CINQUENTA E QUATRO
155,CENTO E CINQUENTA E CINCO
156,CENTO E CINQUENTA E SEIS
157,CENTO E CINQUENTA E SETE
158,CENTO E CINQUENTA E OITO
159,CENTO E CINQUENTA E NOVE
160,CENTO E SESSENTA
161,CENTO E SESSENTA E UM
162,CENTO E SESSENTA E DOIS
163,CENTO E SESSENTA E TRES
164,CENTO E SESSENTA E QUATRO
165,CENTO E SESSENTA E CINCO
166,CENTO E SESSENTA E SEIS
167,CENTO E SESSENTA E SETE
168,CENTO E SESSENTA E OITO
169,CENTO E SESSENTA E NOVE
170,CENTO E SETENTA
171,CENTO E SETENTA E UM
172,CENTO E SETENTA E DOIS
173,CENTO E SETENTA E TRES
174,CENTO E SETENTA E QUATRO
175,CENTO E SETENTA E CINCO
176,CENTO E SETENTA E SEIS
177,CENTO E SETENTA E SETE
178,CENTO E SETENTA E OITO
179,CENTO E SETENTA E NOVE
180,CENTO E OITENTA
181,CENTO E OITENTA E UM
182,CENTO E OITENTA E DOIS
183,CENTO E OITENTA E TRES
184,CENTO E OITENTA E QUATRO
185,CENTO E OITENTA E CINCO
186,CENTO E OITENTA E SEIS
187,CENTO E OITENTA E SETE
188,CENTO E OITENTA E OITO
189,CENTO E OITENTA E NOVE
190,CENTO E NOVENTA
191,CENTO E NOVENTA E UM
192,CENTO E NOVENTA E DOIS
193,CENTO E NOVENTA E TRES
194,CENTO E NOVENTA E QUATRO
195,CENTO E NOVENTA E CINCO
196,CENTO E NOVENTA E SEIS
197,CENTO E NOVENTA E SETE
198,CENTO E NOVENTA E OITO
199,CENTO E NOVENTA E NOVE
