variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,0,,,,,
pre69,0,,,,,
pre68,-.3881561605014838,5.287635527263932,-.07340826698438,.9414812392443176,-10.75173135731325,9.97541903631028
pre67,1.483833480263193,6.153300844089032,.2411443090237639,.8094432722207838,-10.57641456019122,13.54408152071761
pre66,-2.110061054287131,3.081056209155742,-.6848499056968912,.4934386396621616,-8.148820258575894,3.928698150001631
pre65,-1.15947999981075,4.547888545526982,-.2549490798210395,.7987624282220808,-10.07317775474588,7.754217755124384
pre64,1.557345358360122,4.110659845676626,.378855321730903,.704795303354308,-6.499399891861041,9.614090608581284
pre63,-.4632782619564916,3.429789045859773,-.1350748561389606,.8925526898587753,-7.185541266411642,6.258984742498658
pre62,-.2756616051748486,3.06042533618507,-.0900729718564122,.9282292272292868,-6.273985041471471,5.722661831121775
pre61,-.8578265845052367,2.979739244660983,-.2878864605492804,.7734336512965682,-6.698008187361348,4.982355018350875
pre60,-1.18526672355001,3.289899273577858,-.3602744719478901,.7186418877625331,-7.633350812527096,5.262817365427077
pre59,.3661387814741436,3.236374194329234,.1131324004856085,.9099255880087191,-5.977038079905988,6.709315642854275
pre58,.0644138984157969,3.529309152397038,.0182511351752929,.985438509445963,-6.852904930589982,6.981732727421575
pre57,.5492068288739009,3.182882488675428,.1725501430944929,.8630050439734848,-5.689128215953154,6.787541873700956
pre56,.8176718125535748,3.183662733143313,.2568336790330382,.7973071698085008,-5.422192483329671,7.05753610843682
pre55,-.6829022676731668,3.011343326869222,-.2267766221074347,.8205974429921994,-6.585026733421868,5.219222198075535
pre54,-.2255048979103566,3.123631629460145,-.0721931791775749,.9424481732393515,-6.347710392622403,5.89670059680169
pre53,-1.155653740443113,3.216894485585102,-.3592451495134811,.7194117034215424,-7.460651074255417,5.149343593369191
pre52,-.5026401968665638,3.31038445783218,-.1518374083944679,.8793151765570185,-6.990874509198789,5.985594115465662
pre51,-2.59454552797851,2.819889321744978,-.9200877169083278,.3575269226252558,-8.121427038987747,2.932335983030727
pre50,-1.930484848195425,3.123938218521037,-.6179651174757779,.5365983328479229,-8.053291246424875,4.192321550034024
pre49,0,,,,,
pre48,.2802232219801992,3.282125303776226,.0853785873616069,.9319604158055399,-6.152624166168787,6.713070610129185
pre47,.1650674919235081,3.280887352145947,.0503118437807813,.9598738857514361,-6.265353555615528,6.595488539462544
pre46,.3405959272047226,3.575945482562433,.0952463981527649,.9241191170789466,-6.66812842929635,7.349320283705794
pre45,-2.315608455992991,2.217352181072133,-1.044312435236765,.2963408614166735,-6.661538871935708,2.030321959949726
pre44,-.8664724899243536,2.446237082560695,-.3542062607510387,.7231843119661061,-5.66100906938965,3.928064089540943
pre43,-1.615967244364771,2.261614526814157,-.7145193069842531,.4749061218965441,-6.048650263833114,2.816715775103572
pre42,-1.415276899136657,2.69369071346654,-.5254043799688204,.5993021093636909,-6.694813683021078,3.864259884747764
pre41,-1.060862017711807,2.57233949867695,-.4124113548221174,.6800379419159217,-6.102554791128447,3.980830755704832
pre40,0,,,,,
pre39,-.9616221928576049,2.634273509686387,-.3650426538177075,.7150795668260449,-6.124703397270848,4.201459011555638
pre38,-1.771856484197898,2.229176177868009,-.7948481155457651,.4267018583700383,-6.140961508013849,2.597248539618052
pre37,-1.29795034205341,2.481119774722424,-.5231308682784646,.6008831857252743,-6.160855741839492,3.564955057732672
pre36,-1.055279707456987,2.465151212421628,-.4280790980040282,.6685935339350004,-5.886887300248626,3.776327885334652
pre35,-.2076889436802521,2.609026800459929,-.0796039901328878,.9365522216233757,-5.321287507281482,4.905909619920977
pre34,.3113523310338971,2.417410185093129,.1287958216416228,.8975192118400136,-4.42668456760894,5.049389229676735
pre33,.3258209082269095,2.370788290381141,.1374314651159884,.890689761436945,-4.320838755889413,4.972480572343232
pre32,-.6377688925821614,2.601143641226529,-.245187879082845,.8063109610933031,-5.735916748001533,4.46037896283721
pre31,-.9022634835448989,2.93226897084204,-.3077014736768169,.7583094982687169,-6.649405059379627,4.84487809228983
pre30,-.2845332174180178,2.297087014027548,-.1238669739894344,.9014206024608528,-4.786741034266665,4.21767459943063
pre29,-.7975412624798789,2.325290340071478,-.3429856688156039,.7316092415775433,-5.355026582618869,3.759944057659112
pre28,-.6841326543119681,2.161717377368698,-.3164764559300131,.7516408929698075,-4.921020858708997,3.55275555008506
pre27,.0332945785520255,2.792659875980519,.0119221745685502,.9904877063245482,-5.440218199439886,5.506807356543937
pre26,-1.521584672508531,2.692570365706039,-.5651048870953257,.5720024246205413,-6.798925615132209,3.755756270115147
pre25,-.4337739712308475,2.170398320104442,-.1998591535999594,.8415907365843398,-4.687676510741789,3.820128568280095
pre24,-1.265623116279375,2.407043467221748,-.5257998592523048,.5990272723474279,-5.983341621256419,3.452095388697669
pre23,-.7297435080485858,2.22765755687562,-.327583342330264,.7432267184656359,-5.095872089413287,3.636385073316116
pre22,-.0886846725180995,2.520845740317753,-.0351805233853464,.97193579270353,-5.029451534122106,4.852082189085906
pre21,-.9781003474397727,2.580668685144603,-.3790104297657902,.7046801188235379,-6.036118026353529,4.079917331473984
pre20,-1.127332918674255,2.323020321201823,-.4852875837483098,.6274723617275537,-5.680369083584495,3.425703246235985
pre19,-1.518828878156764,2.254384827394182,-.673722099129083,.5004880093303234,-5.937341947142907,2.899684190829379
pre18,-.9361218044978066,2.214155917051289,-.4227894690200907,.6724488717586932,-5.275787658074588,3.403544049078974
pre17,-1.697017628318718,2.404699265447235,-.7057088812322234,.4803691967730385,-6.410141582245221,3.016106325607786
