variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre36,0,,,,,
pre35,-.0279710713747794,.1803911177372279,-.1550579192902629,.8767756564146159,-.3815311652706706,.3255890225211118
pre34,1.860860168770397,1.089620231196617,1.707806183744228,.0876723113068576,-.2747562412011781,3.996476578741972
pre33,1.058232919928753,.7466686782498699,1.417272413795586,.1564032972782043,-.4052107978251174,2.521676637682623
pre32,1.578000700438304,.6529032018786813,2.416898394582416,.015653385905028,.2983339393652047,2.857667461511403
pre31,1.419049409616065,.60928059504993,2.329057286815076,.0198560310647015,.2248813868390691,2.613217432393061
pre30,.6190109666983207,.3837519385467399,1.613049745214321,.1067337007432648,-.1331290118507175,1.371150945247359
pre29,1.047610880335625,.6039598990762396,1.734570261929562,.08281695062184,-.1361287699602503,2.2313505306315
pre28,.5172834129552266,.4019719141066282,1.286864566408514,.1981414975247246,-.2705670614903928,1.305133887400846
pre27,.2770795772551306,.2635039908685859,1.051519471647452,.2930200712220373,-.2393787546298691,.7935379091401302
pre26,.7460882985256634,.3905560498650701,1.910323239861277,.0560916073105446,-.0193874931541035,1.51156409020543
pre25,.7817630427991373,.4306995719280776,1.815100579969194,.0695084540934659,-.0623926063367131,1.625918691934988
pre24,1.110419468130455,.6397480653571592,1.735713678962872,.0826144736048264,-.1434636991487537,2.364302635409663
pre23,.4037598089812144,.4315414163815578,.9356223844439079,.3494676452818805,-.442045824964042,1.249565442926471
pre22,.3465470425806865,.3189345406296635,1.086577333068123,.2772236470193348,-.2785531704792804,.9716472556406535
pre21,.1777755325354159,.3513919579645143,.5059180453793105,.6129141837228913,-.5109400495320446,.8664911146028764
pre20,.6563246525763957,.451755375179025,1.452831971985507,.1462704125895871,-.2290996125968732,1.541748917749665
pre19,.5102560342961172,.4157629666530385,1.227276297366655,.2197187611899011,-.3046244064493657,1.3251364750416
pre18,.6136892440045728,.4208403904557246,1.458247016974806,.1447724684525166,-.2111427645284212,1.438521252537567
pre17,.8158809400813248,.4872260232129768,1.674543027691865,.0940239254613161,-.1390645177467859,1.770826397909436
pre16,.2839266856392309,.4033727931218649,.7038815965792031,.4815065132065882,-.5066694612229503,1.074522832501412
pre15,.7456736851010202,.5244455545727036,1.421832406814019,.1550749093851641,-.2822207137136141,1.773568083915654
pre14,.5016092160413022,.360219789471694,1.392508770206581,.1637683877334329,-.2044085978418185,1.207627029924423
pre13,.4464755624823326,.3308694695432424,1.349400907550285,.1772082294758726,-.2020166814062948,1.09496780637096
pre12,.7970592993596293,.4364717288248613,1.826141870644404,.0678288946470491,-.0584095694070318,1.65252816812629
pre11,.4645981496300495,.3660416076167957,1.269249560603043,.2043520698222421,-.2528302181420124,1.182026517402111
pre10,.6617827872502989,.4455653300356665,1.485265442886512,.1374735222119145,-.2115092123793101,1.535074786879908
pre9,.5637102632590281,.5340791589401288,1.055480735061263,.2912055157775018,-.4830656531570674,1.610486179675124
pre8,.3127373862105046,.3450337156785333,.9063965983599149,.3647259726272049,-.3635162699714536,.9889910423924628
pre7,1.00961327495436,.5527014135635728,1.826688425572902,.0677466295155782,-.0736615898346202,2.09288813974334
pre6,.188356141140715,.203892445260792,.9238014723880279,.355589688462224,-.2112657082902416,.5879779905716717
pre5,.3086739423911449,.2062500879696396,1.496600294476394,.1344972934734821,-.0955688018375666,.7129166866198564
pre4,.1983332420076011,.1698573026537315,1.167646247226239,.2429494872941158,-.1345809537048323,.5312474377200345
pre3,.0077781909046037,.1707247260275095,.0455598382588728,.9636610803376081,-.3268361233797828,.3423925051889902
pre2,.1597331554197612,.1759620199345983,.9077706398183593,.3639994134511791,-.1851460662989705,.5046123771384929
post0,.3400521371927423,.1484434563302623,2.290785633798381,.0219758149388445,.0491083090447839,.6309959653407007
post1,.4697672478555777,.1623184436669307,2.894108871691234,.003802362977117,.1516289442418001,.7879055514693554
post2,.1076109863465496,.162571349638386,.661930817366732,.5080155604579777,-.2110230038627556,.4262449765558548
post3,.1997382212885737,.1859293606024782,1.074269392641108,.282701958881533,-.1646766291608439,.5641530717379913
post4,-.0447538516559727,.2103018057863258,-.2128077383293808,.8314769276818297,-.4569378168809085,.3674301135689631
post5,.1061422684972385,.2156474401909109,.4922027750631847,.6225760028778062,-.3165189476352022,.5288034846296792
post6,.1327780195480928,.213195426025326,.6227995695007067,.5334162412693885,-.2850773371302194,.550633376226405
post7,-.168587532605127,.271269625341314,-.6214758928243755,.5342865512335551,-.7002662283737764,.3630911631635225
post8,.4403801608592119,.3798121479571639,1.159468340409373,.2462653342167129,-.3040379700276275,1.184798291746051
post9,-.2879100565028259,.3646397860736764,-.7895738959342549,.429776658203664,-1.002590904537622,.4267707915319697
post10,-.1422702850438588,.6655237435919779,-.2137719148470869,.8307249273818784,-1.446672853340405,1.162132283252687
post11,-.1364459355004251,.5814561451508691,-.2346624704860963,.8144707186119371,-1.276079038585622,1.003187167584772
post12,-.133068731796595,.6520297501866062,-.2040838347613919,.83828798648449,-1.411023559010992,1.144886095417802
post13,.3088104062144313,.6608388306639283,.467300636532174,.6402848011078093,-.9864099014724317,1.604030713901294
post14,.024139089599762,.6991460706935592,.0345265325968518,.9724572850048887,-1.346162028892308,1.394440208091832
post15,.5218607911064784,.7291343292523711,.7157265405972262,.4741602193399879,-.9072162341199385,1.950937816332895
post16,.2310970300011118,.8077224991273528,.2861094376481829,.7747943033716592,-1.352009977791185,1.814204037793408
post17,3.030455445366822,7.552797929081765,.4012361344526598,.6882462792483015,-11.77275647814214,17.83366736887578
post18,2.816314907026836,7.644896549565028,.3683914999722365,.7125813345537289,-12.16740699565515,17.80003680970882
post19,2.74239058038969,7.411843637976858,.3700011379541535,.7113816425132703,-11.78455600908728,17.26933716986666
post20,3.000485713259661,7.635031371174758,.3929893103763362,.694327376623993,-11.96390079507633,17.96487222159565
