variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,18.04997151580352,8.782095200517947,2.055314945201115,.0398485947213022,.83738121398628,35.26256181762076
pre69,-1.505267782255856,.7134464256085399,-2.109853982339215,.0348709350202026,-2.903597081347429,-.106938483164283
pre68,1.589573443774633,1.246521052224197,1.275207860259014,.2022356799127276,-.8535629245557652,4.032709812105031
pre67,1.097974873191353,1.011152512559392,1.08586475289687,.2775388330382988,-.8838476343022394,3.079797380684945
pre66,.2190242754858149,.6713334992522961,.3262525640829114,.7442332746910769,-1.096765204663933,1.534813755635563
pre65,1.268933747952717,.6750776482507223,1.879685620225776,.0601509365037363,-.0541941293866974,2.592061625292131
pre64,.905696448121148,.753148839879579,1.202546429290072,.2291518888488715,-.5704481530409506,2.381841049283246
pre63,1.137343741910482,.7234501489162727,1.57211073024758,.1159248734203595,-.2805924945755511,2.555279978396515
pre62,1.05858693167302,.6577835062645425,1.609324225358861,.1075454646146684,-.2306450502299602,2.347818913576
pre61,1.015258543761494,.709678402025106,1.4305896034942,.1525478688325116,-.375685564813651,2.406202652336639
pre60,-.2141941214187052,.2984696790848726,-.7176411422273722,.4729785829088996,-.7991839429022832,.3707957000648728
pre59,.3664922462656318,.6004636613363077,.6103487519128437,.5416308086362106,-.8103949039785873,1.543379396509851
pre58,.8174505752655707,.6755184580941851,1.210108421865797,.2262372919450268,-.5065412734910617,2.141442424022203
pre57,.726179070060041,.5251115427495754,1.382904413522584,.1666941768553872,-.3030206415953915,1.755378781715474
pre56,.007444633216722,.4221394007097563,.0176354853496383,.9859296478585475,-.8199333886297223,.8348226550631662
pre55,.3606033814965797,.5109875883992976,.705698904793742,.48037540220987,-.6409138883130205,1.36212065130618
pre54,.3129981597869462,.3698375287401286,.8463125980026722,.3973783817772787,-.4118700766750029,1.037866396248895
pre53,-.0087690841480243,.2932693687825706,-.0299011253184293,.9761459083777021,-.5835664847306579,.5660283164346092
pre52,.264740175667484,.3785629021217513,.6993294223593514,.4843461837307846,-.47722947837411,1.006709829709078
pre51,.5511841274155572,.6722438929747092,.8199168979825802,.4122634829785905,-.7663896916418714,1.868757946472986
pre50,.5578061968754603,.4658687172981633,1.197346325613994,.2311715950415751,-.3552797105528118,1.470892104303732
pre49,.5196366183480686,.4662530906474582,1.114494742815495,.2650669985598841,-.3942026470014385,1.433475883697576
pre48,.5217968595733158,.46725588690912,1.11672613270853,.2641114407019226,-.3940078503328798,1.437601569479511
pre47,.9986782021089449,.8229203455103182,1.213578212712233,.2249088310014224,-.6142160372365362,2.611572441454426
pre46,.0144824724695472,.3884570529921085,.0372820427843832,.9702601233204967,-.7468793609355527,.775844305874647
pre45,.1391251810557506,.5233798891230048,.2658206475775637,.7903773406713441,-.8866805518579055,1.164930913969407
pre44,.0407551178124286,.3601833439233162,.1131510340497739,.909910815431037,-.665191264108475,.7467014997333321
pre43,.2086357290279602,.3561032624158504,.5858854749393436,.5579524788493386,-.4893138400843223,.9065852981402428
pre42,-.042374425044995,.4004319538767463,-.1058217872843333,.9157237500948505,-.8272066329024217,.7424577828124317
pre41,.0166725010683843,.4227317483224483,.0394399075407674,.96853966303052,-.8118665007652648,.8452115029020333
pre40,.1456568713061714,.3433839528085114,.4241807752367425,.6714339801808588,-.5273633090675125,.8186770516798552
pre39,.5964818821308134,.6261329566082023,.9526441242799126,.3407704127434807,-.6307161623548435,1.82367992661647
pre38,.4884319415640375,.6849508020368956,.7130905462283518,.4757897290897291,-.8540469616101021,1.830910844738177
pre37,-.0299499246686691,.28216570236632,-.1061430372915656,.9154688651705706,-.5829845389791045,.5230846896417664
pre36,.2148923703383915,.5154802096460871,.4168780223123018,.6767676297211351,-.7954302753110957,1.225215015987879
pre35,.6064302345396012,.3964838607222256,1.52952060503785,.1261354349675996,-.1706638529273558,1.383524322006558
pre34,.4133549559760618,.4354661123719931,.9492241628734521,.3425066147876309,-.4401429407607166,1.26685285271284
pre33,.626226739805463,.6512363136671645,.9615967762594954,.3362521914923002,-.6501729804068092,1.902626460017735
pre32,.0385102801377394,.3492989411583614,.11025020576939,.9122109464751356,-.6461030643706244,.7231236246461031
pre31,.2755750413668877,.4818427150558547,.5719190780645991,.5673767984702643,-.6688193263555831,1.219969409089358
pre30,.1340322837724135,.5413144905514855,.247605201988705,.8044398854390811,-.9269246220181453,1.194989189562972
pre29,.7104925257077263,.6010635535291073,1.182058904646794,.2371823290196799,-.4675703916289869,1.88855544304444
pre28,.6172848585633794,.4950095412746565,1.247016081697865,.2123916009703823,-.3529160143386405,1.587485731465399
pre27,-.2901499270224145,.2524968041754975,-1.149123166013405,.2505051972095131,-.7850345694178523,.2047347153730233
pre26,-.0488156684099529,.2545965314057599,-.191737366335732,.8479479348837382,-.5478157005540631,.4501843637341573
pre25,.4068228631463007,.5198333958132769,.782602399966682,.4338606317247454,-.6120318706088765,1.425677596901478
pre24,.6285830778092734,.6101674002184534,1.03018135282912,.3029248815174761,-.5673230511593323,1.824489206777879
pre23,.6136947844775066,.4616925360125036,1.329228299373864,.183772661284078,-.2912059580379622,1.518595526992975
pre22,.3157434927170189,.4750969240557426,.6645875330482525,.5063143453423836,-.6154293675979976,1.246916353032036
pre21,.2444752589169206,.3248301107098025,.7526249902840149,.4516752961360941,-.3921800591684508,.8811305770022919
pre20,.4791417682335241,.5457421536661481,.8779636409149988,.3799634504227425,-.5904931977974497,1.548776734264498
pre19,.2824528583653409,.4319625385588748,.6538827633240323,.5131873396792647,-.564178159880548,1.12908387661123
pre18,.1485711976863733,.4441081126606893,.3345383555285011,.7379733528915674,-.7218647083706344,1.019007103743381
