variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,0,,,,,
pre69,0,,,,,
pre68,0,,,,,
pre67,-1.155876957759611,9.065083635213284,-.127508692062102,.8985377940660645,-18.92311439962107,16.61136048410185
pre66,0,,,,,
pre65,0,,,,,
pre64,0,,,,,
pre63,1.336285004936181,4.581783273144777,.2916517271274163,.7705529213796904,-7.643845195395626,10.31641520526799
pre62,.1178391969877549,5.223863003406946,.0225578651107239,.9820029540377272,-10.1207441498611,10.35642254383661
pre61,-.7619295029045007,6.596532904154275,-.1155045406390171,.9080452216573818,-13.69089641788029,12.16703741207128
pre60,-.7358363964251354,5.846513993140181,-.1258589985910417,.8998435389013781,-12.19479325808934,10.72312046523907
pre59,1.368341074039516,4.875071888887224,.2806812094727594,.7789549222887092,-8.186624250223094,10.92330639830213
pre58,0,,,,,
pre57,-1.919911115916161,4.367262479179046,-.4396143179095258,.660216468894403,-10.4795882861402,6.639766054307875
pre56,.4918453117751381,4.461017900281856,.1102540547403009,.9122078940490939,-8.251589107165792,9.235279730716069
pre55,0,,,,,
pre54,0,,,,,
pre53,-1.132374537193485,3.922881498893197,-.2886588691279544,.7728424410407604,-8.821080990642654,6.556331916255684
pre52,0,,,,,
pre51,-1.1740232345471,4.455004140406172,-.2635291006575949,.7921427969111745,-9.905670900720018,7.557624431625818
pre50,-.4821886923832684,4.652875011059703,-.1036324189317625,.9174610595832895,-9.601656138626691,8.637278753860155
pre49,-.4491357040643653,3.193092635723839,-.1406585261697399,.8881397105899289,-6.707482269383163,5.809210861254433
pre48,-2.353057638101002,4.389063522071067,-.5361183829462247,.5918767360217728,-10.95546406721881,6.249348791016808
pre47,-.8819791200853048,5.193753882757791,-.1698153474336349,.8651553567287733,-11.06154967485564,9.297591434685032
pre46,-.7521836757585671,7.255354668044561,-.1036729023146836,.9174289315711496,-14.97241752019047,13.46805016867333
pre45,-.9265542816367771,4.304870820982887,-.2152339338780034,.8295849354462215,-9.36394604886061,7.510837485587055
pre44,-2.29156803930828,3.417594556478321,-.6705207424223074,.5025258882097238,-8.989930283765927,4.406794205149367
pre43,-.8397924119078556,5.20687957504014,-.1612851612573317,.8718688098556466,-11.04508885082375,9.365504027008038
pre42,0,,,,,
pre41,1.719681357419123,7.245229690295329,.2373536010490546,.8123824822685773,-12.48070789528001,15.92007061011826
pre40,1.925943760250719,6.832438537223604,.2818823396299934,.7780337315965018,-11.46538969929107,15.31727721979251
pre39,.1772688333377649,4.032933659935332,.0439553060589168,.9649400300067061,-7.727135892174791,8.081673558850321
pre38,0,,,,,
pre37,-1.89041445165044,3.373403859037079,-.5603878250705652,.5752149342143447,-8.502164520671547,4.721335617370668
pre36,0,,,,,
pre35,-1.834125623014292,3.523553330129389,-.5205329538596598,.6026921657198738,-8.740163247674065,5.071912001645481
pre34,.4028361588751986,4.572906099573679,.0880919376220636,.9298036043138402,-8.559895100972746,9.365567418723142
pre33,-.0812268388147447,3.772251058521253,-.0215327234467226,.9828206999739076,-7.474703054159495,7.312249376530006
pre32,3.183263420763385,4.484256646869401,.7098753865895968,.4777814149374095,-5.605718104534986,11.97224494606176
pre31,.3001272834676139,4.545394929846042,.0660288683601316,.9473548419718375,-8.608683074541593,9.208937641476821
pre30,0,,,,,
pre29,-1.601992746086701,3.81530460715508,-.4198859359964034,.6745687823379174,-9.079852366160395,5.875866873986994
pre28,-1.557359387102048,3.415098051439233,-.456021866325544,.6483742542899606,-8.250828571595861,5.136109797391765
pre27,.4512927725744369,4.697204670329842,.0960768806658678,.9234595129059521,-8.75505920928539,9.657644754434264
pre26,-1.308591813788112,3.511212204208702,-.3726894695283791,.7093795748282864,-8.190441276114665,5.573257648538442
pre25,-1.543696902991315,4.040818494703437,-.3820257962624994,.7024422305487004,-9.463555620673406,6.376161814690776
pre24,-2.107884448705303,2.991401966729438,-.7046476776271886,.4810295199916177,-7.970924566777287,3.75515566936668
pre23,0,,,,,
pre22,-.1020964068108387,5.688598968854886,-.0179475486617737,.9856806967651801,-11.2515455082581,11.04735269463642
pre21,-1.138081467708848,4.92692981675218,-.2309920193787271,.817321002005011,-10.79468646289965,8.518523527481953
pre20,.4237466647736849,3.738930766472461,.1133336483717439,.9097660415432514,-6.904422978201078,7.751916307748447
pre19,-1.595669653037746,3.879437108380817,-.4113147367669893,.6808417650391407,-9.199226665752358,6.007887359676866
pre18,0,,,,,
pre17,-.9723995430642373,4.748507964894071,-.2047800172713682,.8377440000691441,-10.2793041345582,8.33450504842973
pre16,-1.332638075946885,4.222171968541101,-.3156285641314973,.7522844541247558,-9.607943070822024,6.942666918928253
pre15,-.6327572780783659,4.134573265278774,-.1530405286059678,.8783663145242889,-8.736371969466932,7.470857413310201
pre14,-1.185428270467079,3.49009194553134,-.3396553125154434,.7341161184280067,-8.025882786441834,5.655026245507675
pre13,-.8216108720345706,3.395036174946846,-.2420035692395631,.8087773975710473,-7.475759501141014,5.832537757071873
pre12,-.0697927998238159,3.857557662412164,-.0180924838801175,.9855650739663468,-7.630466886438176,7.490881286790545
pre11,-.1588675136070739,3.138543195693701,-.0506182339070723,.9596297328935651,-6.310299141089973,5.992564113875825
pre10,-.2606008657371989,3.742062393098918,-.0696409729078267,.9444794244241813,-7.594908384112843,7.073706652638446
pre9,-.6768811025526131,4.190336363351491,-.1615338349619347,.8716729648134244,-8.88978945783008,7.536027252724853
pre8,-1.432895807232396,3.584316871988626,-.3997681729621764,.6893272746464487,-8.458027785509366,5.592236171044574
pre7,-1.82449857651023,2.894568062207628,-.6303180776197476,.5284864977273327,-7.497747729237075,3.848750576216615
