variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,18.91498715139223,9.301532099152372,2.033534577934307,.0419985438297721,.6843192360103352,37.14565506677413
pre69,-1.313642365403572,.7469871657092461,-1.758587597895743,.0786475810129998,-2.777710307107347,.1504255763002034
pre68,.3867145411366746,1.186810254281808,.3258436129461088,.744542679549921,-1.939390813738493,2.712819896011842
pre67,.4634283038786817,.9882589588989796,.4689340781640752,.6391167567632525,-1.473523662962368,2.400380270719731
pre66,.089652467436607,1.11352820248689,.0805120761525234,.9358299920346449,-2.092822705207323,2.272127640080536
pre65,1.304101926261418,.9173562502599016,1.421587225128673,.1551461155043292,-.4938832852407016,3.102087137763538
pre64,.3254593920544292,.822489243010777,.3957004846203985,.6923259979480288,-1.286589901918306,1.937508686027164
pre63,.0639691684914843,.8244352221385025,.0775915035817547,.9381530011653979,-1.55189417448626,1.679832511469228
pre62,-.1553820079862639,.6558765683718063,-.2369073930663433,.8127286344037604,-1.440876460298727,1.130112444326199
pre61,1.040414509899804,.9619940671743659,1.081518634471188,.2794664761517794,-.8450592151031582,2.925888234902766
pre60,-.5418703864096239,.5168083264465986,-1.048493916758934,.2944111035679768,-1.554796093155376,.4710553203361283
pre59,-.1195849218574402,.8492405138215915,-.1408139624890324,.888016912504252,-1.78406574316005,1.544895899445169
pre58,.1466730870278454,.7274502505828684,.2016262787872075,.8402088996282583,-1.279103204659214,1.572449378714905
pre57,-.1814105547554971,.541964945260126,-.3347274696307633,.7378306778508925,-1.243642328348566,.8808212188375715
pre56,.0532830182536556,.6549715006983451,.0813516591131737,.9351622920634561,-1.230437534015251,1.337003570522563
pre55,-.0832441365106564,.6849840906587467,-.121527109382352,.9032735436490819,-1.425788284184719,1.259300011163406
pre54,-.679959783639244,.5660521750922857,-1.201231641815328,.2296613585422706,-1.789401660190685,.4294820929121964
pre53,-.454554403338114,.577611875327492,-.7869547402923331,.4313083612419319,-1.586652876022638,.6775440693464101
pre52,-.349706733808952,.4362284864986412,-.8016595537257316,.4227499182098468,-1.204698856376706,.5052853887588018
pre51,-.5970079141833506,.5232802174777427,-1.140895249319728,.2539135166220869,-1.622618294262013,.4286024658953118
pre50,-.6419130080628448,.5146771881932029,-1.247214803353358,.212318746396597,-1.650661760585866,.3668357444601762
pre49,-.6468052183041765,.4808336145359014,-1.345174710650108,.1785688209932133,-1.589221785350758,.2956113487424051
pre48,.3976367041043911,.6335412684826357,.6276413611646037,.5302389069910836,-.8440813648413956,1.639354773050178
pre47,.7679967021332925,1.105962954869367,.694414490785549,.4874223087654934,-1.399650857646164,2.935644261912749
pre46,-.0926559094096254,.685457445134221,-.1351738318218751,.8924744363596542,-1.436127814807538,1.250815995988288
pre45,.1336474635166848,.5872077482750944,.2275982629814922,.8199585704561558,-1.017258574545362,1.284553501578732
pre44,-.2680082326412672,.4781721964622014,-.5604847680901346,.5751488263573806,-1.205208516115593,.6691920508330584
pre43,.1951274406251329,.6110354395062294,.3193389908493902,.7494694688084098,-1.002480014084679,1.392734895334945
pre42,-.4396376508600397,.4895370379431127,-.8980682089086963,.3691491864852556,-1.399112614326958,.5198373126068789
pre41,-.0678132965395233,.6623838718417583,-.102377638439427,.9184569323391304,-1.366061829289564,1.230435236210518
pre40,.076935366418299,.6171478936193846,.1246627708102453,.9007905320066856,-1.132652278210451,1.286523011047049
pre39,.4273448568294781,.7680336371833809,.5564142456008634,.5779277025907836,-1.077973410965251,1.932663124624207
pre38,-.0531439338795744,.7042689868622511,-.0754597105238838,.9398489524472683,-1.433485783558099,1.32719791579895
pre37,-.2457727616232758,.4390381062265404,-.5597982456139214,.5756170604388713,-1.106271637667965,.6147261144214138
pre36,-.5758644671829751,.4715921806164132,-1.221106903066689,.2220455463743054,-1.500168156581853,.3484392222159027
pre35,.2289907825420828,.5980376266520124,.3829036373915792,.701791214287292,-.9431414270956725,1.401122992179838
pre34,-.1111484533711379,.4105550652383033,-.270727273347907,.786600798780383,-.9158215949087045,.6935246881664288
pre33,.0109497394843805,.6521102107672988,.0167912406577664,.9866031578558805,-1.267162787570349,1.28906226653911
pre32,-.7354227738316784,.4761127819342734,-1.544639845298676,.1224334026701671,-1.668586679002027,.1977411313386698
pre31,-.863399987884816,.5260247687331341,-1.641367553783083,.1007211408825791,-1.89438958957777,.1675896138081379
pre30,-.961572264440353,.5187251652726433,-1.853722026258256,.0637789388285291,-1.978254906249321,.055110377368615
pre29,.0947158086402342,.7416652641436464,.1277069497782082,.8983808900040476,-1.358921397665699,1.548353014946167
pre28,.3747360615378474,.5350638710773434,.7003576241904013,.4837039932833487,-.6739698552023283,1.423441978278023
pre27,-.8257576711855042,.4373625131979665,-1.888039432432417,.0590206569030856,-1.682972445241443,.0314571028704341
pre26,-.5397351198102601,.4766114669281674,-1.132442581142527,.2574484114858286,-1.473876429608271,.394406189987751
pre25,-.5797498662541196,.4451301804844138,-1.302427675479577,.19277022692182,-1.452188988435385,.2926892559271453
pre24,.5161374189627224,.7603524787896766,.678813357436943,.497256129195827,-.9741260550207989,2.006400892946243
pre23,.0237054402847148,.6441402444087923,.0368016755519945,.9706431380577666,-1.238786239749346,1.286197120318775
pre22,-.1618315445705303,.6874001249575269,-.2354255384817243,.8138784661938675,-1.509111032455616,1.185447943314555
pre21,.1528055257334638,.4453782034090633,.3430916119465272,.7315295412781759,-.7201197124474543,1.025730763914382
pre20,-.1356244565031991,.6834523124234542,-.1984402628213931,.842700618567467,-1.475166374003786,1.203917460997388
pre19,-1.009384449659889,.4420627101746059,-2.283351267654316,.0224096853697828,-1.875811440510284,-.1429574588094934
