variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,17.8612490854877,8.354962012660538,2.137801351869941,.032532869253866,1.485824448472766,34.23667372250263
pre69,-1.118769702747771,.6264227442861054,-1.785965967795059,.0741047685975613,-2.346535720645281,.1089963151497395
pre68,-.1516256815422129,.6754359268152286,-.2244856625515146,.8223794218834873,-1.475455771964493,1.172204408880066
pre67,-.5621132793531562,.7522725958997237,-.747220199721438,.4549306528753568,-2.036540473873068,.9123139151667561
pre66,-.3241809971648745,.6496785342528423,-.4989867758793913,.6177887002417938,-1.597527525829217,.9491655314994681
pre65,-.5569172669140735,.7152411544517272,-.7786426486336375,.4361902486820051,-1.958764169900309,.8449296360721618
pre64,.0671114881896537,.6471720446949574,.1036996093075783,.9174077367118842,-1.201322411213609,1.335545387592916
pre63,.5048215545916884,.6327979569356162,.7977610374033671,.4250091756460903,-.7354396504926474,1.745082759676024
pre62,-.243729984039431,.5413988879884095,-.4501856014980379,.6525766174765522,-1.304852305766748,.8173923376878863
pre61,.4677037720476436,.5305274781541904,.8815825594460763,.3780025899315618,-.5721109779434299,1.507518522038717
pre60,-.1973936913897474,.5364000599433514,-.3679971464033653,.7128753619659245,-1.248718490183842,.8539311074043474
pre59,-.2224470363663658,.5695836832473239,-.390543203587128,.6961349146835252,-1.338810541712791,.8939164689800592
pre58,.3748407524051287,.4032471004540886,.9295559769258798,.352601029829054,-.4155090413550901,1.165190546165348
pre57,.3048811840984137,.5054777455762631,.6031545142523297,.5464059037520235,-.6858369922175626,1.29559936041439
pre56,-.2151186988013168,.5266246674158442,-.4084858004409625,.6829170532468167,-1.247284080306756,.8170466827041221
pre55,.0773894388526475,.52278814423539,.1480321229660522,.8823174170566455,-.9472564953932479,1.102035373098543
pre54,.5703132667393491,.4662022055500504,1.223317393075099,.2212098402932,-.3434262656518888,1.484052799130587
pre53,.6223880893342825,.4736846878741133,1.31392908672549,.1888700692753809,-.3060168389270763,1.550793017595641
pre52,.215164128107583,.5449145075658679,.3948585055456144,.6929473145915608,-.8528486813748967,1.283176937590063
pre51,-.1203138128282897,.5392788828995084,-.2231012870027576,.8234566767149161,-1.177281000934319,.93665337527774
pre50,-.0072569822391027,.5536952265437933,-.0131064562076891,.9895428603324077,-1.092479684676684,1.077965720198478
pre49,.3293561896587455,.4732013171032765,.6960170602966926,.4864181457337052,-.5981013493005938,1.256813728618085
pre48,.2851508476308356,.5269762799354383,.5411075573757711,.5884334495109192,-.7477036817495208,1.318005377011192
pre47,-.0231818301259741,.439637844593441,-.0527293780802963,.9579475312564556,-.8848561717699357,.8384925115179875
pre46,-.5280320048402983,.5323937335691455,-.9918073251921912,.3212915236547196,-1.571504548230636,.5154405385500399
pre45,-.2815043543274108,.4651761969419377,-.6051564034832753,.5450750801739181,-1.19323294679892,.6302242381440983
pre44,-.0249129176523752,.4099871164172308,-.0607651232313898,.951546266600802,-.8284728999555779,.7786470646508274
pre43,-.2339552997526524,.4236086533502623,-.5522911250805012,.5807489101092856,-1.064213003858679,.5963024043533741
pre42,.2167542269857808,.4248000756993751,.5102499725992862,.6098763462166945,-.6158386220148828,1.049347075986445
pre41,-.4839488060585742,.4444388948945748,-1.08889841014786,.2761986874305278,-1.355033033380723,.3871354212635748
pre40,.1304826493918294,.4127985354098564,.3160928108969106,.7519320632901654,-.6785876128823713,.9395529116660302
pre39,-.7468596026665355,.4928160780915674,-1.515493580401745,.1296474548219818,-1.712761366728286,.2190421613952153
pre38,.0556306169844941,.3572266280392113,.1557291999475127,.8762464797336879,-.6445207082910462,.7557819422600345
pre37,.0444499222051454,.4223462452130803,.1052452169492349,.9161812319895618,-.7833335074182142,.872233351828505
pre36,.1776999381323945,.4083413067619616,.4351750243968899,.6634353897943298,-.6226343165210722,.9780341927858611
pre35,-.0238445590805953,.4163482584954762,-.057270706899941,.9543295545486861,-.8398721507577013,.7921830325965106
pre34,-.0922042189826883,.4223756381529898,-.2182990936359136,.827196080605755,-.9200452577096703,.7356368197442937
pre33,.1580694357992586,.4201612055312136,.3762114010488188,.7067597401778613,-.6654313947428514,.9815702663413686
pre32,.3609837813048948,.354942443444805,1.017020612698378,.3091436237400825,-.3346906244315679,1.056658187041357
pre31,.1407426062601351,.4110851738464912,.3423684803400175,.7320736058401007,-.6649695290573745,.9464547415776448
pre30,-.3877275205381626,.4467349725662503,-.8679139631958478,.3854414343461272,-1.263311977402502,.4878569363261769
pre29,.2480782722409709,.3846997457996635,.6448620643751615,.5190165773989833,-.5059193743880835,1.002075918870025
pre28,.106448021460863,.4462368978962485,.2385459874849088,.8114576517242464,-.7681602269886614,.9810562699103873
pre27,-.1106171809329291,.4107048614179192,-.2693349685490303,.7876719250378623,-.9155839175875646,.6943495557217063
pre26,.1948846696716122,.3786997985076114,.5146151924020506,.6068219466570266,-.5473532963558813,.9371226356991057
pre25,.0870106545983728,.3740252245966205,.2326331190422043,.816046307493368,-.646065314920508,.8200866241172535
pre24,-.1943538199731742,.4138499776292386,-.4696238503781981,.6386237816574829,-1.005484871129189,.6167772311828406
pre23,-.1021000862832334,.4188417586227247,-.2437676859608474,.8074107483290395,-.9230148484051924,.7188146758387256
pre22,-.4043568391660268,.4442752522891251,-.9101493659225471,.3627437431217588,-1.275120332875158,.4664066545431044
pre21,.0667447528276034,.4196592683466112,.1590451060227189,.8736333366204276,-.7557722989101843,.8892618045653911
pre20,.3975785447764395,.4604715491586165,.8634160905335054,.3879087357640286,-.5049291074798138,1.300086197032693
pre19,.1187262063894059,.4134844785681079,.2871358238175068,.7740083231104758,-.6916884797704095,.9291408925492213
