variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,0,,,,,
pre69,15.68677073353441,7.70735023082476,2.035300104930586,.0418206856301055,.5806418648814091,30.79289960218741
pre68,2.637887316156437,3.770735332941387,.6995684086103003,.4841968773746835,-4.752618131641331,10.0283927639542
pre67,1.961121741735982,3.89740572594488,.5031864475081129,.6148331922675649,-5.677653114256167,9.599896597728131
pre66,-.7308717551182462,1.452608848420244,-.5031442262747412,.6148628743691569,-3.577932781646126,2.116189271409633
pre65,.1202967750329158,1.442856052032349,.0833740655302867,.9335541094087699,-2.707649121826138,2.948242671891969
pre64,1.399642762223305,1.810265053715217,.7731700721675041,.4394217354589807,-2.148411545529986,4.947697069976597
pre63,-.136863438960998,1.071526993408146,-.127727476585246,.8983646450149769,-2.237017754503452,1.963290876581456
pre62,.386991387649557,1.002486721225715,.3860314350861349,.6994733879991458,-1.57784648093249,2.351829256231604
pre61,.1888407847233099,1.000182617994978,.1888063052943977,.8502446298176438,-1.771481124509831,2.149162693956451
pre60,-.3413838958717529,.9196127342830932,-.3712257161574509,.7104694206996922,-2.143791734791018,1.461023943047512
pre59,.4146478594810367,.8736362733611023,.4746229891368639,.6350557173935597,-1.297647771894513,2.126943490856586
pre58,.6289708036043773,.666799895408644,.943267699853067,.3455439928486595,-.6779329762916397,1.935874583500394
pre57,.1805561327410533,.7408652067746029,.2437098288460789,.8074555605453998,-1.271512989935988,1.632625255418095
pre56,.5322776003338098,.65283880010907,.8153277658204169,.4148847194770739,-.7472629355903108,1.81181813625793
pre55,-.1335712085171963,.6750119038682989,-.1978797821960445,.84313912286518,-1.456570229234875,1.189427812200483
pre54,1.098179983304694,.9657940232813544,1.137074735225166,.255507044604614,-.7947415188107991,2.991101485420187
pre53,-.184084300616686,.6906960187679173,-.2665199966622953,.7898387610562482,-1.537823621667005,1.169655020433633
pre52,.3408012164318154,.6517529151705734,.522899412490733,.6010442534779867,-.9366110241214974,1.618213456985128
pre51,-.620580896250317,.883388109700363,-.7025008480822911,.4823668730117056,-2.351989775633947,1.110827983133313
pre50,-.6586347363952312,.7662008149337647,-.8596111144206598,.3900034462724262,-2.160360738590649,.8430912658001866
pre49,-.5322633920271636,.755549367883354,-.7044720234738352,.481138866670942,-2.013112941620541,.948586157566214
pre48,.5696825690620879,.6660979342450882,.8552534691579983,.3924108411626405,-.735845392234814,1.87521053035899
pre47,.8905488156629136,.6682119865203737,1.332733973091877,.1826191202538485,-.4191226119549829,2.20022024328081
pre46,-.4499690035693897,.8049677128790711,-.5589901263990047,.5761684586706735,-2.027676729529948,1.127738722391168
pre45,1.055191030441297,1.054814592031142,1.000356876377136,.317137831409407,-1.012207580307052,3.122589641189646
pre44,-.3770192819396186,.7036492327355355,-.5358057173940246,.5920928303637585,-1.75614643585051,1.002107871971273
pre43,-.1160951691596399,.686454851099889,-.1691228038866993,.8657000483837602,-1.461521954328228,1.229331616008948
pre42,-.1794685777949942,.6473202789995399,-.2772485021979695,.7815892993429261,-1.448193011096512,1.089255855506523
pre41,-.0695106860191886,.6381246050832027,-.1089296439370573,.913258294078676,-1.320211929631111,1.181190557592734
pre40,-.447997233405516,.7571173518984418,-.5917143918075325,.5540418576382196,-1.9319199751968,1.035925508385768
pre39,.0969249799088175,.6087975415393629,.1592072459158422,.8735055952627215,-1.096296275384861,1.290146235202496
pre38,1.047340770062029,.8683574859201989,1.206117050919601,.2277723612470212,-.6546086280473078,2.749290168171366
pre37,.2497506882591906,.6036452906498944,.4137374914170289,.6790663668583901,-.9333723408518151,1.432873717370196
pre36,-.8280457239902156,.7841929801238515,-1.055920857464751,.2910043741165577,-2.365035721962099,.7089442739816677
pre35,-.4697463588548707,.6554600071720826,-.7166666977616909,.4735797790778265,-1.754424366218518,.8149316485087765
pre34,.5559467634893095,.5805107338112661,.9576855880671059,.3382213261989361,-.5818333674196902,1.693726894398309
pre33,.5421322952781801,.5402438438363284,1.003495553838136,.3156218210825498,-.5167261815105048,1.600990772066865
pre32,.0921132918767601,.6104404718445197,.150896436467308,.8800574115868887,-1.104328047644135,1.288554631397655
pre31,.0254566203735169,.7227434550540272,.0352222080954216,.9719025537171376,-1.391094521594419,1.442007762341453
pre30,2.087806240671427,.8460692666870644,2.467654035994719,.0136001693003278,.4295409495385667,3.746071531804287
pre29,-.4906766876010135,.7037029579889837,-.6972781370754092,.4856287475233345,-1.869909141073724,.8885557658716972
pre28,-.1233785420575554,.623512585588571,-.1978765864703292,.843141623250786,-1.345440753718603,1.098683669603492
pre27,.1954590546805915,.7246870404059551,.2697151236085293,.7873794246515659,-1.224901444578003,1.615819553939186
pre26,.1028585921643131,.6199200416177388,.1659223533020389,.8682180559311083,-1.112162362701026,1.317879547029652
pre25,-1.006022322129402,.7637149650527058,-1.317274596105334,.1877465973221818,-2.502876148086971,.4908315038281672
pre24,.8460327765493828,1.183163788204542,.7150597279800481,.4745721372338295,-1.472925636143495,3.16499118924226
pre23,-.2166660829644722,.7169122999927006,-.3022211823770889,.7624834575904419,-1.62178837102394,1.188456205094996
pre22,.6308497976078116,.6061963313220027,1.040669111658997,.2980291435534737,-.5572731793436234,1.818972774559247
pre21,.7813125623562919,.6320409858373719,1.236173887237953,.216393934861113,-.4574650066381473,2.020090131350731
pre20,-.5706870229104796,.6649266437778005,-.8582706502300829,.3907430319630664,-1.873919297076062,.7325452512551033
pre19,-.4481471282287207,.6737261446595446,-.665176988871619,.5059372966989426,-1.76862610720445,.8723318507470091
pre18,.0163809781946258,.6725731300569099,.0243556833637403,.9805688973813764,-1.301838133686291,1.334600090075543
