variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,17.50788131004644,8.508959628581271,2.057581898877288,.0396302857194544,.8306268921218347,34.18513572797104
pre69,-1.298336240098525,.9874204453715061,-1.314876804692899,.1885513093998656,-3.233644750625177,.6369722704281267
pre68,1.520363734418276,1.261670125864565,1.205040607089306,.2281876261554459,-.9524642726463877,3.99319174148294
pre67,.7208152175898495,.8716893350382585,.8269175595204601,.4082837900068384,-.9876644847928056,2.429294919972504
pre66,.6388718575427713,.7577063854568807,.8431654659443648,.3991359094560517,-.8462053688087386,2.123949083894281
pre65,1.068421458947302,.6269929053343793,1.704040747283266,.0883734750186559,-.1604620540702129,2.297304971964817
pre64,.6631252336819725,.5678052802137398,1.167874369594364,.2428574440265173,-.4497526657686307,1.776003133132576
pre63,.7882848971826979,.6105462201450348,1.29111420425376,.196664079341255,-.4083637051986333,1.984933499564029
pre62,.8551978568433539,.6156564284580247,1.38908296464196,.1648075232955231,-.3514665697849347,2.061862283471643
pre61,.6105738668371865,.5901028315577537,1.034690623709419,.3008134162598438,-.5460064301911165,1.76715416386549
pre60,.1500112724858959,.5061000510246324,.296406357166312,.7669197710317008,-.8419266000962671,1.141949145068059
pre59,.3736560181713812,.5355648254953638,.6976858829848896,.4853736585814213,-.6760317511860106,1.423343787528773
pre58,.4790409015119992,.5349021041769759,.8955674277054354,.3704838385885466,-.5693479579295655,1.527429760953564
pre57,.4213426067149903,.4060539883899075,1.037651688598616,.2994322444100604,-.3745085863080735,1.217193799738054
pre56,-.2099128423958328,.3534109263269858,-.593962514338381,.5525371851898834,-.9025855297396632,.4827598449479977
pre55,.0879362724336485,.3949540865415841,.2226493545203255,.8238084210983911,-.6861595127347719,.862032057602069
pre54,.3007272715786229,.3114173508630674,.9656728205579496,.3342079239220368,-.3096395202738627,.9110940634311084
pre53,-.2884690288262283,.2590969374928533,-1.113363328866769,.2655524178937644,-.7962896948168463,.2193516371643897
pre52,.0829785976440378,.3102840118390783,.2674278869614228,.7891397303794112,-.5251668905391553,.6911240858272309
pre51,.3067159766558845,.6034397619253983,.5082793611034916,.6112574419249366,-.8760042235573207,1.48943617686909
pre50,.2283211823395082,.3925285745988026,.5816676724054338,.5607905506569328,-.5410206867769887,.997663051456005
pre49,.30626655055247,.3801523890988046,.805641525174971,.4204495749521801,-.438818440718044,1.051351541822984
pre48,.3976639590157016,.452752008454399,.8783262174214168,.3797667120297242,-.4897136714830944,1.285041589514498
pre47,.5900687732744181,.644452172425738,.9156129787775885,.3598699215887374,-.6730342744386253,1.853171820987461
pre46,-.0129678140313449,.4240468532678369,-.030581087753419,.9756036248818194,-.8440843741938461,.8181487461311562
pre45,.3741539754652395,.5199412413608331,.7196081897369265,.4717662681493417,-.6449121316790407,1.39322008260952
pre44,-.1366399863664376,.2945603801300899,-.4638776820769032,.6427353834483214,-.7139677226938415,.4406877499609663
pre43,.1596157845436915,.2870625145590596,.5560314441921064,.5781893592167452,-.4030164053035702,.7222479743909532
pre42,-.1775121939063462,.3264073974903692,-.5438363078507856,.5865541213861487,-.8172589372749195,.4622345494622271
pre41,-.1243268697147222,.3242426779157022,-.383437709415431,.7013952478470777,-.7598308406803193,.5111771012508749
pre40,-.0405262557469335,.2854224959237319,-.1419869012629003,.887090352135729,-.5999440681349784,.5188915566411114
pre39,.4472766496489065,.5692810075161141,.7856869344727716,.4320509195346186,-.6684936221653528,1.563046921463166
pre38,.3402719864213319,.5777912653914355,.5889185365078308,.5559159224007137,-.7921780843277058,1.47272205717037
pre37,-.2259984254032789,.249729711367989,-.9049721163144224,.3654801594435676,-.7154596655541203,.2634628147475624
pre36,.2885995714810812,.418790959429693,.6891256006913195,.4907442308393056,-.5322156260520918,1.109414769014254
pre35,.2413981360921004,.3442753480737178,.7011775238708381,.4831922346838313,-.4333691468973776,.9161654190815783
pre34,.1362768416812428,.3531787181469117,.385858022239482,.6996018209683643,-.5559407259927268,.8284944093552123
pre33,.3727399373932418,.5419861081237296,.6877296886512621,.4916230204923241,-.6895333146502998,1.435013189436783
pre32,-.2506951230557174,.2983586028354111,-.8402476773696813,.4007695313318104,-.8354672390908131,.3340769929793783
pre31,.1669098062618209,.3678101917430857,.4537933151629656,.6499775954815381,-.5539849227013984,.8878045352250403
pre30,.3978041086181446,.5227509286142574,.7609821175692024,.4466677483256209,-.6267688843506687,1.422377101586958
pre29,.5334080696096184,.4845112748726723,1.100919828439072,.2709315513784263,-.4162165792444057,1.483032718463642
pre28,.3831462041469633,.4656354142477981,.8228459271421819,.4105956155160276,-.5294824377051096,1.295774845999036
pre27,-.0629348310095946,.2515224960158359,-.2502155155363607,.8024206871520777,-.5559098645022521,.4300402024830629
pre26,.0127390456440374,.259480077707365,.0490945037345186,.9608439835120011,-.4958325613680525,.5213106526561273
pre25,.2271298596139755,.4840221750695058,.4692550699383959,.6388873264627322,-.7215361712409967,1.175795890468948
pre24,.3579333574223762,.4761004511711147,.7518021806993244,.4521700304122525,-.575206379896279,1.291073094741031
pre23,.3306721774844086,.3919138756107217,.8437368464413774,.3988164727745329,-.4374649037541166,1.098809258722934
pre22,.2172294628861091,.3368696767428536,.6448471853758724,.5190262204801321,-.4430229710135341,.8774818967857523
pre21,.1376739753410432,.2791061897284348,.4932673670727169,.6218236830010209,-.409364104388892,.6847120550709784
pre20,.2374267259407198,.4389819512831507,.5408576030215321,.5886057355110945,-.622962088437372,1.097815540318812
pre19,.1102499152922094,.3587116317142947,.3073497080797782,.7585772038192423,-.5928119637034041,.8133117942878229
pre18,.2414641899465766,.4741691972699827,.509236347145282,.6105865687245732,-.6878903592808575,1.170818739174011
