variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre72,0,,,,,
pre71,0,,,,,
pre70,18.43375893547475,8.907037316965789,2.069572438005039,.0384924013361349,.9762865852675304,35.89123128568197
pre69,-.8168429140861313,.9809679365763935,-.8326907370050612,.4050191699999645,-2.739504739764434,1.105818911592172
pre68,.9356133033396183,1.339563851458877,.6984462161476448,.484898182185839,-1.689883600511543,3.56111020719078
pre67,.4356153526128354,.8746082743672583,.4980690960510115,.618435341795704,-1.278585365727717,2.149816070953388
pre66,.0321037224486157,.9403692209168283,.034139486634107,.9727659210441212,-1.810986082718357,1.875193527615588
pre65,1.218336876679078,.8308878878624153,1.46630718112095,.1425646199939851,-.4101734587218109,2.846847212079967
pre64,.4346097432731228,.6658987814703776,.6526663741799569,.5139713849892711,-.8705278857579251,1.739747372304171
pre63,.1522272981851258,.7244155882482615,.2101380763398987,.8335599082575806,-1.267601164620864,1.572055760991115
pre62,.2837478684238707,.5910686404660479,.4800590811248929,.6311853831047105,-.874725379280637,1.442221116128378
pre61,.6470250177454105,.8788628721690808,.7362070218628284,.4616047195906682,-1.075514559055417,2.369564594546238
pre60,.1359118530124316,.6409471220510516,.2120484644310583,.8320692247746279,-1.120321422202228,1.392145128227091
pre59,-.0797861251731269,.6652402584157426,-.1199358038900653,.9045340017723127,-1.383633072734101,1.224060822387847
pre58,-.019381253829743,.6389108950745432,-.0303348306925988,.9758000184710929,-1.271623597506097,1.232861089846611
pre57,-.1658041785017206,.4150914922745109,-.399440079085191,.6895689672517176,-.979368553648748,.6477601966453068
pre56,.0826539141145862,.5096620948224336,.1621739481006192,.8711688746087665,-.9162654360226216,1.081573264251794
pre55,-.1137697869522845,.5660298277900947,-.2009960983795975,.8407016248572541,-1.223167863596279,.9956282896917101
pre54,.2497731490548635,.5224123463405145,.4781149427354047,.6325683971869669,-.77413623485161,1.273682532961337
pre53,-.5574926410601002,.4748847094260429,-1.173953656528337,.2404135887732111,-1.488249568343913,.3732642862237125
pre52,-.2267236418936497,.3631394551095174,-.6243431791934404,.5324022324657787,-.9384638952738034,.485016611486504
pre51,-.6728562269080105,.3825320912907099,-1.758953672717266,.0785853776336822,-1.42260534876859,.0768928949525688
pre50,-.5377402093020338,.3991695003682258,-1.347147537088829,.1779327205838129,-1.320098053750604,.2446176351465366
pre49,-.2250279931868686,.3931706279078581,-.5723418211179429,.567090422201198,-.9956282636652691,.5455722772915319
pre48,.4241925764957773,.5299199338109628,.8004842796630832,.4234302680679448,-.6144314084635589,1.462816561455113
pre47,.6781674224290964,.9130644753393806,.7427377154028753,.4576404909425842,-1.11140606479905,2.467740909657242
pre46,.3319490572033819,.76022700644798,.436644652699662,.6623690741384677,-1.158068495509358,1.821966609916122
pre45,.809197038918003,.7430833071407144,1.088972166568625,.2761661599050411,-.6472194805907121,2.265613558426718
pre44,-.2002987162222595,.3851120812405903,-.5201049927517785,.6029903987158848,-.9551045254650797,.5545070930205608
pre43,.2909572308452372,.4721555202382903,.616231767656545,.5377415646593552,-.6344505839235843,1.216365045614059
pre42,-.4751056279443346,.413114265664988,-1.150058633728272,.250119722466043,-1.284794710147423,.3345834542587537
pre41,.0444050970773994,.506527775364326,.0876656705458265,.9301424054739984,-.9483710998058744,1.037181293960673
pre40,.1845914747860851,.5018319611472991,.367835229872701,.7129960982196536,-.7989810953537247,1.168164044925895
pre39,.4154746967836493,.6674842813795285,.6224486604013559,.5336468922043687,-.8927704549668258,1.723719848534125
pre38,-.0920422244887424,.5421999330676764,-.1697569823883653,.8652012588875004,-1.154734565721416,.9706501167439312
pre37,-.2284360004166286,.3868905269305181,-.5904409245400147,.5548950805120618,-.9867274991601679,.5298554983269107
pre36,-.3069007343784991,.3636562353430898,-.8439309010856229,.398708019369459,-1.019653858404377,.4058523896473787
pre35,.1053352140829475,.5243129661245516,.2009014098230882,.8407756653097805,-.9222993161485429,1.132969744314438
pre34,-.2295732543687317,.3498191844141014,-.6562626196537363,.511655164338052,-.9152062569215458,.4560597481840825
pre33,.0443580267288393,.5394766337533244,.0822241853557684,.9344684414278792,-1.012996745928582,1.10171279938626
pre32,-.5561454605340185,.3781485108462125,-1.470706467386288,.1413705164292124,-1.297302922600049,.1850120015320119
pre31,-.7416836676665063,.4232258530705416,-1.752453594896259,.0796958426241105,-1.571191097011008,.0878237616779958
pre30,-.6165132569393733,.3858600232521093,-1.597764007121728,.1100955077436205,-1.372785005587295,.1397584917085487
pre29,.0697270333345498,.6493750230050588,.1073756009460909,.9144910102071038,-1.203024624215234,1.342478690884334
pre28,.378887195696497,.4567977811994623,.8294418477725805,.4068544298579121,-.5164200036722569,1.274194395065251
pre27,-.6294327318987704,.3675385603603826,-1.712562435031559,.0867930691352749,-1.349795073134821,.0909296093372801
pre26,.1902473687584627,.4660340420460006,.4082263345467884,.6831075159841826,-.7231625692213237,1.103657306738249
pre25,-.0609232333745621,.5116220944562232,-.1190785817006481,.9052130993205502,-1.063684112203709,.941837645454585
pre24,.4364699064323659,.7085486374654222,.616005568783083,.5378908444183674,-.952259904294789,1.825199717159521
pre23,.0671311241644272,.5600253023734546,.1198715913011741,.9045848690315172,-1.030498298918697,1.164760547247552
pre22,-.0037188848000618,.5510412483746069,-.0067488319813286,.994615252034956,-1.083739885610282,1.076302116010158
pre21,.2368107037114941,.4121873239639893,.5745220436040945,.5656145880541593,-.5710616061418683,1.044683013564857
pre20,.1285552743701214,.4911851114575091,.2617246968025054,.7935336987478526,-.8341498538288887,1.091260402569131
pre19,-.7030739475501006,.3802422491859484,-1.849015855169421,.0644555233196979,-1.448335061355064,.042187166254863
