variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
-12,0.1147888,0.1295941,0.89,0.376,-0.1392109,0.3687885
-11,-0.0815947,0.0754114,-1.08,0.279,-0.2293983,0.0662089
-10,0.0058426,0.0783089,0.07,0.941,-0.14764,0.1593252
-9,0.0038656,0.1022421,0.04,0.97,-0.1965252,0.2042565
-8,-0.0949177,0.0713457,-1.33,0.183,-0.2347527,0.0449173
-7,0.0106465,0.0780109,0.14,0.891,-0.142252,0.1635451
-6,-0.1663337,0.089496,-1.86,0.063,-0.3417425,0.0090752
-5,-0.1098151,0.079771,-1.38,0.169,-0.2661634,0.0465331
-4,-0.062989,0.0679276,-0.93,0.354,-0.1961248,0.0701467
-3,-0.0909518,0.0787161,-1.16,0.248,-0.2452325,0.0633289
-2,-0.1335729,0.0707202,-1.89,0.059,-0.2721819,0.0050361
-1,0,0,,,0,0
0,0.0691823,0.0878852,0.79,0.431,-0.1030695,0.241434
1,0.0040659,0.0940489,0.04,0.966,-0.1802665,0.1883984
2,0.115959,0.0748214,1.55,0.121,-0.0306882,0.2626062
3,-0.0123033,0.0866392,-0.14,0.887,-0.182113,0.1575064
4,-0.1056204,0.0751008,-1.41,0.16,-0.2528153,0.0415744
5,0.0886603,0.1005682,0.88,0.378,-0.1084496,0.2857703
6,-0.0779978,0.0822087,-0.95,0.343,-0.2391239,0.0831282
7,-0.0634182,0.1102145,-0.58,0.565,-0.2794348,0.1525983
8,-0.1634567,0.1034159,-1.58,0.114,-0.3661481,0.0392347
9,0.0166471,0.0738487,0.23,0.822,-0.1280938,0.1613879
10,-0.0486303,0.1010613,-0.48,0.63,-0.2467069,0.1494463
11,0.0208561,0.0999227,0.21,0.835,-0.1749887,0.216701
12,0.0165694,0.1196058,0.14,0.89,-0.2178537,0.2509925
