variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
-12,0.0637686,0.1527501,0.42,0.676,-0.2356161,0.3631532
-11,-0.0711739,0.1081601,-0.66,0.511,-0.2831637,0.140816
-10,0.0599248,0.0965423,0.62,0.535,-0.1292946,0.2491441
-9,0.0592785,0.1298988,0.46,0.648,-0.1953184,0.3138754
-8,-0.1839352,0.0937087,-1.96,0.05,-0.367601,-0.0002695
-7,0.116322,0.1398377,0.83,0.406,-0.157755,0.3903989
-6,-0.2869768,0.1257677,-2.28,0.023,-0.5334771,-0.0404765
-5,-0.2555341,0.1193417,-2.14,0.032,-0.4894396,-0.0216287
-4,-0.1497781,0.1143754,-1.31,0.19,-0.3739498,0.0743935
-3,-0.0413122,0.1397105,-0.3,0.767,-0.3151398,0.2325154
-2,-0.181107,0.1106418,-1.64,0.102,-0.3979609,0.0357469
-1,0,0,,,0,0
0,0.0934298,0.1159321,0.81,0.42,-0.1337928,0.3206525
1,-0.0180298,0.1208105,-0.15,0.881,-0.2548139,0.2187544
2,0.0498541,0.0990399,0.5,0.615,-0.1442606,0.2439688
3,-0.1311859,0.1128082,-1.16,0.245,-0.3522859,0.0899141
4,-0.2199392,0.1127053,-1.95,0.051,-0.4408376,0.0009591
5,0.0102537,0.1251808,0.08,0.935,-0.2350962,0.2556036
6,-0.1771617,0.1240695,-1.43,0.153,-0.4203335,0.0660101
7,-0.0636706,0.1371451,-0.46,0.642,-0.33247,0.2051289
8,-0.1821246,0.1231508,-1.48,0.139,-0.4234957,0.0592464
9,-0.0952729,0.1093257,-0.87,0.384,-0.3095474,0.1190015
10,-0.0857731,0.1560915,-0.55,0.583,-0.3917068,0.2201606
11,0.0060065,0.1703157,0.04,0.972,-0.3278061,0.3398191
12,-0.1486077,0.1622941,-0.92,0.36,-0.4666983,0.169483
