variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
-12,0.0271015,0.0351857,0.77,0.441,-0.0418612,0.0960643
-11,-0.0455015,0.0285687,-1.59,0.111,-0.1014951,0.010492
-10,-0.0068153,0.0327686,-0.21,0.835,-0.0710406,0.0574099
-9,-0.0108304,0.0358342,-0.3,0.762,-0.0810642,0.0594033
-8,-0.0336545,0.0307813,-1.09,0.274,-0.0939848,0.0266758
-7,0.0083837,0.0327552,0.26,0.798,-0.0558152,0.0725827
-6,-0.0418707,0.036039,-1.16,0.245,-0.1125058,0.0287643
-5,-0.0226371,0.0324323,-0.7,0.485,-0.0862033,0.040929
-4,-0.0424119,0.0316028,-1.34,0.18,-0.1043521,0.0195284
-3,-0.0277111,0.0351664,-0.79,0.431,-0.0966359,0.0412137
-2,-0.0493394,0.0328264,-1.5,0.133,-0.1136781,0.0149992
-1,0,0,,,0,0
0,0.0329753,0.0359857,0.92,0.359,-0.0375555,0.103506
1,-0.0433573,0.0337418,-1.28,0.199,-0.10949,0.0227754
2,0.0774118,0.0329189,2.35,0.019,0.0128918,0.1419317
3,0.006921,0.0374897,0.18,0.854,-0.0665575,0.0803995
4,-0.0434804,0.0347489,-1.25,0.211,-0.1115869,0.0246261
5,0.0361318,0.0346856,1.04,0.298,-0.0318508,0.1041143
6,-0.0099231,0.0307385,-0.32,0.747,-0.0701695,0.0503234
7,-0.0281242,0.0390601,-0.72,0.472,-0.1046806,0.0484322
8,-0.0415557,0.0378081,-1.1,0.272,-0.1156581,0.0325468
9,0.0140057,0.0344637,0.41,0.684,-0.053542,0.0815534
10,-0.0206895,0.0401059,-0.52,0.606,-0.0992956,0.0579166
11,0.0095056,0.05293,0.18,0.857,-0.0942353,0.1132464
12,0.0285411,0.0512181,0.56,0.577,-0.0718445,0.1289266
