variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
-12,0.0415952,0.0456422,0.91,0.362,-0.0478618,0.1310523
-11,-0.0432411,0.0383202,-1.13,0.259,-0.1183473,0.0318652
-10,0.0053736,0.0412481,0.13,0.896,-0.0754713,0.0862185
-9,0.0185615,0.0457702,0.41,0.685,-0.0711466,0.1082695
-8,-0.0424545,0.0386845,-1.1,0.272,-0.1182746,0.0333657
-7,0.0134757,0.0385635,0.35,0.727,-0.0621074,0.0890588
-6,-0.0719892,0.043456,-1.66,0.098,-0.1571613,0.013183
-5,-0.05185,0.0422284,-1.23,0.22,-0.1346161,0.0309162
-4,-0.0518615,0.0428829,-1.21,0.227,-0.1359105,0.0321875
-3,-0.0287136,0.0424977,-0.68,0.499,-0.1120076,0.0545805
-2,-0.0388217,0.0394241,-0.98,0.325,-0.1160915,0.0384481
-1,0,0,,,0,0
0,0.0473374,0.0436088,1.09,0.278,-0.0381342,0.1328091
1,-0.0355646,0.0428513,-0.83,0.407,-0.1195515,0.0484224
2,0.0602351,0.0387489,1.55,0.12,-0.0157113,0.1361815
3,-0.0166682,0.0427161,-0.39,0.696,-0.1003901,0.0670538
4,-0.0569705,0.042395,-1.34,0.179,-0.1400631,0.0261221
5,0.0049586,0.0428573,0.12,0.908,-0.0790402,0.0889574
6,-0.0338401,0.0396317,-0.85,0.393,-0.1115169,0.0438366
7,0.0075909,0.0457855,0.17,0.868,-0.0821471,0.0973289
8,-0.040832,0.044807,-0.91,0.362,-0.128652,0.0469881
9,-0.0197721,0.0429621,-0.46,0.645,-0.1039763,0.0644321
10,-0.0157325,0.0520838,-0.3,0.763,-0.1178148,0.0863499
11,0.0040059,0.0602494,0.07,0.947,-0.1140808,0.1220925
12,0.0065885,0.06148,0.11,0.915,-0.1139102,0.1270872
